site_name,sys_trt,lat,lon,city,county
East,grain,41.32,-91.72,Washington,Washington
West,grain,41.95,-94.34,Jefferson,Greene
Central,grain,42,-93.8,Boone,Boone
Central,silage,42,-93.8,Boone,Boone
