product name,active ingredient
Roundup Powermax,glyphosate
Xtendimax,dicamba
Warrant,acetochlor
Aatrex,atrazine
Cadet,fluthiacet-methyl
Harness Max,acetochlor
Fierce,"chlorimuron-ethyl, flumioxazin, pyroxasulfone"
Lumax,"metalochlor, atrazine, mesotrione"
